,Symbol,Name,LastSale,Sector,industry
0,DDD,3D Systems Corporation,8.24,Technology,Computer Software: Prepackaged Software
1,MMM,3M Company,164.71,Health Care,Medical/Dental Instruments
2,WBAI,500.com Limited,9.88,Consumer Services,Services-Misc. Amusement & Recreation
3,WUBA,58.com Inc.,51.33,Technology,"Computer Software: Programming, Data Processing"
4,EGHT,8x8 Inc,23.32,Technology,EDP Services
5,AHC,A.H. Belo Corporation,3.45,Consumer Services,Newspapers/Magazines
6,AOS,A.O Smith Corporation,43.65,Consumer Durables,Consumer Electronics/Appliances
7,ATEN,"A10 Networks, Inc.",7.09,Technology,Computer Communications Equipment
8,AAC,"AAC Holdings, Inc.",0.75,Health Care,Medical Specialities
9,AIR,AAR Corp.,39.46,Capital Goods,Aerospace
10,AAN,"Aaron&#39;s,  Inc.",61.56,Technology,Diversified Commercial Services
11,ABB,ABB Ltd,18.05,Consumer Durables,Electrical Products
12,ABT,Abbott Laboratories,83.16,Health Care,Major Pharmaceuticals
13,ABBV,AbbVie Inc.,65.23,Health Care,Major Pharmaceuticals
14,ANF,Abercrombie & Fitch Company,16.81,Consumer Services,Clothing/Shoe/Accessory Stores
15,AGD,Aberdeen Global Dynamic Dividend Fund,9.24,,
16,AWP,Aberdeen Global Premier Properties Fund,6.03,,
17,ACP,Aberdeen Income Credit Strategies Fund,12.3,,
18,JEQ,"Aberdeen Japan Equity Fund, Inc. ",6.8732,,
19,AOD,Aberdeen Total Dynamic Dividend Fund,8.05,,
20,ABM,ABM Industries Incorporated,39.5,Finance,Diversified Commercial Services
21,AKR,Acadia Realty Trust,26.97,Consumer Services,Real Estate Investment Trusts
22,ACN,Accenture plc,185.55,Miscellaneous,Business Services
23,ACCO,Acco Brands Corporation,9.54,Consumer Durables,Publishing
24,ATV,"Acorn International, Inc.",17.838,Consumer Services,Other Specialty Stores
25,ATU,Actuant Corporation,20.89,Technology,Industrial Machinery/Components
26,AYI,"Acuity Brands, Inc. ",127.56,Consumer Durables,Building Products
27,GOLF,Acushnet Holdings Corp.,24.72,Consumer Non-Durables,Recreational Products/Toys
28,ADX,"Adams Diversified Equity Fund, Inc.",15.28,,
29,PEO,"Adams Natural Resources Fund, Inc.",15.33,,
30,AGRO,Adecoagro S.A.,6.68,Consumer Non-Durables,Farming/Seeds/Milling
31,ADNT,Adient plc,19.3,Capital Goods,Auto Parts:O.E.M.
32,ADT,ADT Inc.,5.61,Consumer Services,Diversified Commercial Services
33,ATGE,Adtalem Global Education Inc.,44.42,Consumer Services,Other Consumer Services
34,AAP,Advance Auto Parts Inc,143.16,Consumer Services,Other Specialty Stores
35,ADSW,"Advanced Disposal Services, Inc.",32.41,Public Utilities,Environmental Services
36,WMS,"Advanced Drainage Systems, Inc.",33.31,Capital Goods,Containers/Packaging
37,ASIX,AdvanSix Inc.,23.23,Basic Industries,Major Chemicals
38,AVK,Advent Convertible and Income Fund,14.39,,
39,ACM,AECOM,33.44,Consumer Services,Military/Government/Technical
40,AEB,Aegon NV,23.75,Finance,Life Insurance
41,AEG,Aegon NV,4.37,Finance,Life Insurance
42,AEH,Aegon NV,26.12,Finance,Life Insurance
43,AER,Aercap Holdings N.V.,51.75,Technology,Diversified Commercial Services
44,HIVE,"Aerohive Networks, Inc.",4.45,Technology,EDP Services
45,AJRD,"Aerojet Rocketdyne Holdings, Inc. ",48.32,Capital Goods,Military/Government/Technical
46,AMG,"Affiliated Managers Group, Inc.",78.99,Finance,Investment Managers
47,MGR,"Affiliated Managers Group, Inc.",25.9,Finance,Investment Managers
48,AFL,Aflac Incorporated,51.36,Finance,Accident &Health Insurance
49,MITT,"AG Mortgage Investment Trust, Inc.",16.12,,
50,MITT^A,"AG Mortgage Investment Trust, Inc.",26.1,,
51,MITT^B,"AG Mortgage Investment Trust, Inc.",26.5,,
52,AGCO,AGCO Corporation,69.87,Capital Goods,Industrial Machinery/Components
53,A,"Agilent Technologies, Inc.",65.86,Capital Goods,Biotechnology: Laboratory Analytical Instruments
54,AEM,Agnico Eagle Mines Limited,56.24,Basic Industries,Precious Metals
55,ADC,Agree Realty Corporation,67.29,Consumer Services,Real Estate Investment Trusts
56,AL,Air Lease Corporation,38.36,Technology,Diversified Commercial Services
57,AL^A,Air Lease Corporation,26.42,,
58,APD,"Air Products and Chemicals, Inc.",220.06,Basic Industries,Major Chemicals
59,AYR,Aircastle Limited,19.5,Technology,Diversified Commercial Services
60,AKS,AK Steel Holding Corporation,2.68,Basic Industries,Steel/Iron Ore
61,ALP^Q,Alabama Power Company,25.91,,
62,ALG,"Alamo Group, Inc.",107.33,Capital Goods,Industrial Machinery/Components
63,AGI,Alamos Gold Inc.,7.64,Basic Industries,Precious Metals
64,ALK,"Alaska Air Group, Inc.",61.52,Transportation,Air Freight/Delivery Services
65,AIN,Albany International Corporation,81.47,Basic Industries,Textiles
66,ALB,Albemarle Corporation,65.41,Basic Industries,Major Chemicals
67,AA,Alcoa Corporation,20.15,Basic Industries,Aluminum
68,ALC,Alcon Inc.,58.2,Health Care,Ophthalmic Goods
69,ALEX,"Alexander & Baldwin, Inc.",22.91,Consumer Services,Real Estate Investment Trusts
70,ALX,"Alexander&#39;s, Inc.",354.35,Consumer Services,Real Estate Investment Trusts
71,ARE,"Alexandria Real Estate Equities, Inc.",142.67,Consumer Services,Real Estate Investment Trusts
72,ARE^D,"Alexandria Real Estate Equities, Inc.",38.2738,,
73,AQN,Algonquin Power & Utilities Corp.,12.61,Public Utilities,Electric Utilities: Central
74,AQNA,Algonquin Power & Utilities Corp.,27.69,Public Utilities,Electric Utilities: Central
75,AQNB,Algonquin Power & Utilities Corp.,26.54,Public Utilities,Electric Utilities: Central
76,BABA,Alibaba Group Holding Limited,153.67,Miscellaneous,Business Services
77,Y,Alleghany Corporation,675.02,Finance,Property-Casualty Insurers
78,ATI,Allegheny Technologies Incorporated,19.58,Basic Industries,Steel/Iron Ore
79,ALLE,Allegion plc,99.68,Consumer Services,Diversified Commercial Services
80,AGN,Allergan plc.,160.63,Health Care,Major Pharmaceuticals
81,ALE,"Allete, Inc.",85.0,Public Utilities,Power Generation
82,ADS,Alliance Data Systems Corporation,152.13,Miscellaneous,Business Services
83,AFB,Alliance National Municipal Income Fund Inc,13.65,,
84,AWF,Alliance World Dollar Government Fund II,11.77,,
85,AB,AllianceBernstein Holding L.P.,27.03,Finance,Investment Managers
86,CBH,AllianzGI Convertible & Income 2024 Target Term Fund,9.09,,
87,NCV,AllianzGI Convertible & Income Fund,5.77,,
88,NCV^A,AllianzGI Convertible & Income Fund,25.91,,
89,NCZ,AllianzGI Convertible & Income Fund II,5.02,,
90,NCZ^A,AllianzGI Convertible & Income Fund II,25.5924,,
91,ACV,AllianzGI Diversified Income & Convertible Fund,22.61,,
92,NIE,AllianzGI Equity & Convertible Income Fund,20.99,,
93,NFJ,"AllianzGI NFJ Dividend, Interest & Premium Strategy Fund",12.05,Finance,Finance: Consumer Services
94,ALSN,"Allison Transmission Holdings, Inc.",43.79,Capital Goods,Auto Parts:O.E.M.
95,ALL,Allstate Corporation (The),101.78,Finance,Property-Casualty Insurers
96,ALL^A,Allstate Corporation (The),25.42,,
97,ALL^B,Allstate Corporation (The),26.29,,
98,ALL^D,Allstate Corporation (The),25.51,,
99,ALL^E,Allstate Corporation (The),25.32,,
100,ALL^F,Allstate Corporation (The),25.5965,,
101,ALL^G,Allstate Corporation (The),26.85,,
102,ALLY,Ally Financial Inc.,30.76,Finance,Major Banks
103,ALLY^A,Ally Financial Inc.,26.29,,
104,AYX,"Alteryx, Inc.",125.65,Technology,Computer Software: Prepackaged Software
105,ATUS,"Altice USA, Inc.",26.23,Consumer Services,Television Services
106,MO,Altria Group,46.65,Consumer Non-Durables,Farming/Seeds/Milling
107,ACH,Aluminum Corporation of China Limited,7.31,Basic Industries,Aluminum
108,ABEV,Ambev S.A.,5.09,Consumer Non-Durables,Beverages (Production/Distribution)
109,AMC,"AMC Entertainment Holdings, Inc.",11.1,Consumer Services,Movies/Entertainment
110,AMCR,Amcor plc,10.3,Consumer Durables,Miscellaneous manufacturing industries
111,AEE,Ameren Corporation,75.05,Public Utilities,Power Generation
112,AMRC,"Ameresco, Inc.",13.46,Basic Industries,Engineering & Construction
113,AMOV,"America Movil, S.A.B. de C.V.",13.04,Public Utilities,Telecommunications Equipment
114,AMX,"America Movil, S.A.B. de C.V.",13.32,Public Utilities,Telecommunications Equipment
115,AAT,"American Assets Trust, Inc.",45.58,Consumer Services,Real Estate Investment Trusts
116,AXL,"American Axle & Manufacturing Holdings, Inc.",8.55,Capital Goods,Auto Parts:O.E.M.
117,ACC,American Campus Communities Inc,46.0,Consumer Services,Real Estate Investment Trusts
118,AEO,"American Eagle Outfitters, Inc.",15.85,Consumer Services,Clothing/Shoe/Accessory Stores
119,AEP,"American Electric Power Company, Inc.",88.02,Public Utilities,Electric Utilities: Central
120,AEP^B,"American Electric Power Company, Inc.",55.25,,
121,AEL,American Equity Investment Life Holding Company,22.3,Finance,Life Insurance
122,AXP,American Express Company,120.72,Finance,Finance: Consumer Services
123,AFG,"American Financial Group, Inc.",97.88,Finance,Property-Casualty Insurers
124,AFGB,"American Financial Group, Inc.",26.95,Finance,Property-Casualty Insurers
125,AFGE,"American Financial Group, Inc.",25.81,Finance,Property-Casualty Insurers
126,AFGH,"American Financial Group, Inc.",26.0,Finance,Property-Casualty Insurers
127,AMH,American Homes 4 Rent,23.99,Consumer Services,Real Estate Investment Trusts
128,AMH^D,American Homes 4 Rent,26.84,,
129,AMH^E,American Homes 4 Rent,26.94,,
130,AMH^F,American Homes 4 Rent,26.0712,,
131,AMH^G,American Homes 4 Rent,27.24,,
132,AMH^H,American Homes 4 Rent,26.91,,
133,AIG,"American International Group, Inc.",52.81,Finance,Property-Casualty Insurers
134,AIG.WS,"American International Group, Inc.",,,
135,AIG^A,"American International Group, Inc.",26.8,,
136,ARL,"American Realty Investors, Inc.",14.97,Finance,Real Estate
137,ARA,"American Renal Associates Holdings, Inc",6.99,Health Care,Hospital/Nursing Management
138,AWR,American States Water Company,76.58,Public Utilities,Water Supply
139,AMT,American Tower Corporation (REIT),213.9,Consumer Services,Real Estate Investment Trusts
140,AVD,American Vanguard Corporation,13.34,Basic Industries,Agricultural Chemicals
141,AWK,American Water Works,115.38,Public Utilities,Water Supply
142,COLD,Americold Realty Trust,33.17,Consumer Services,Real Estate Investment Trusts
143,APU,"AmeriGas Partners, L.P.",33.09,Consumer Services,Other Specialty Stores
144,AMP,"AMERIPRISE FINANCIAL SERVICES, INC.",130.45,Finance,Investment Managers
145,ABC,AmerisourceBergen Corporation (Holding Co),88.7,Health Care,Other Pharmaceuticals
146,ANFI,Amira Nature Foods Ltd,0.6,Consumer Non-Durables,Packaged Foods
147,AMN,AMN Healthcare Services Inc,49.92,Technology,Professional Services
148,AMRX,"Amneal Pharmaceuticals, Inc.",3.02,Health Care,Major Pharmaceuticals
149,AP,Ampco-Pittsburgh Corporation,3.5,Capital Goods,Fluid Controls
150,APH,Amphenol Corporation,86.21,Capital Goods,Electrical Products
151,AXR,AMREP Corporation,6.16,Consumer Services,Newspapers/Magazines
152,AME,"AMTEK, Inc.",84.08,Consumer Durables,Metal Fabrications
153,APC,Anadarko Petroleum Corporation,73.1,Energy,Oil & Gas Production
154,PLAN,"Anaplan, Inc.",53.25,Technology,Computer Software: Prepackaged Software
155,FINS,Angel Oak Financial Strategies Income Term Trust,20.0,,
156,AU,AngloGold Ashanti Limited,20.11,Basic Industries,Precious Metals
157,BUD,Anheuser-Busch Inbev SA,98.19,Consumer Non-Durables,Beverages (Production/Distribution)
158,AXE,Anixter International Inc.,57.42,Consumer Non-Durables,Telecommunications Equipment
159,NLY,Annaly Capital Management Inc,9.22,Consumer Services,Real Estate Investment Trusts
160,NLY^D,Annaly Capital Management Inc,25.51,,
161,NLY^F,Annaly Capital Management Inc,25.625,,
162,NLY^G,Annaly Capital Management Inc,24.7003,,
163,NLY^I,Annaly Capital Management Inc,25.5,,
164,AM,Antero Midstream Corporation,7.91,Public Utilities,Natural Gas Distribution
165,AR,Antero Resources Corporation,4.39,Energy,Oil & Gas Production
166,ANTM,"Anthem, Inc.",283.62,Health Care,Medical Specialities
167,ANH,Anworth Mortgage Asset  Corporation,3.68,Consumer Services,Real Estate Investment Trusts
168,ANH^A,Anworth Mortgage Asset  Corporation,25.9662,,
169,ANH^B,Anworth Mortgage Asset  Corporation,22.2,,
170,ANH^C,Anworth Mortgage Asset  Corporation,25.3,,
171,AON,Aon plc,183.25,Finance,Specialty Insurers
172,APA,Apache Corporation,23.25,Energy,Oil & Gas Production
173,AIV,Apartment Investment and Management Company,48.79,Consumer Services,Real Estate Investment Trusts
174,APY,Apergy Corporation,29.58,Technology,Industrial Machinery/Components
175,APHA,Aphria Inc.,7.03,Consumer Durables,Specialty Chemicals
176,ARI,Apollo Commercial Real Estate Finance,18.36,Consumer Services,Real Estate Investment Trusts
177,APO,"Apollo Global Management, LLC",31.43,Finance,Investment Managers
178,APO^A,"Apollo Global Management, LLC",25.99,,
179,APO^B,"Apollo Global Management, LLC",26.5354,,
180,AIY,Apollo Investment Corporation,25.1299,,
181,AFT,Apollo Senior Floating Rate Fund Inc.,14.78,,
182,AIF,Apollo Tactical Income Fund Inc.,14.53,,
183,APLE,"Apple Hospitality REIT, Inc.",14.85,Consumer Services,Real Estate Investment Trusts
184,AIT,"Applied Industrial Technologies, Inc.",55.82,Consumer Durables,Industrial Specialties
185,ATR,"AptarGroup, Inc.",117.08,Consumer Non-Durables,Plastic Products
186,APTV,Aptiv PLC,80.99,Capital Goods,Auto Parts:O.E.M.
187,WTR,"Aqua America, Inc.",40.9,Public Utilities,Water Supply
188,WTRU,"Aqua America, Inc.",56.06,Public Utilities,Water Supply
189,AQ,Aquantia Corp.,13.14,Technology,Semiconductors
190,WAAS,AquaVenture Holdings Limited,16.38,Public Utilities,Water Supply
191,ARMK,Aramark,34.88,Consumer Services,Restaurants
192,ABR,Arbor Realty Trust,12.3,Consumer Services,Real Estate Investment Trusts
193,ABR^A,Arbor Realty Trust,26.18,,
194,ABR^B,Arbor Realty Trust,25.82,,
195,ABR^C,Arbor Realty Trust,26.6396,,
196,ARC,"ARC Document Solutions, Inc.",1.82,Consumer Services,Professional Services
197,MT,ArcelorMittal,14.29,Basic Industries,Steel/Iron Ore
198,ARCH,"Arch Coal, Inc.",77.19,Energy,Coal Mining
199,ADM,Archer-Daniels-Midland Company,37.78,Consumer Non-Durables,Packaged Foods
200,AROC,"Archrock, Inc.",9.77,Public Utilities,Natural Gas Distribution
201,ARNC,Arconic Inc.,23.56,Capital Goods,Metal Fabrications
202,ARCO,Arcos Dorados Holdings Inc.,7.57,Consumer Services,Restaurants
203,ACA,"Arcosa, Inc.",34.39,Capital Goods,Industrial Machinery/Components
204,RCUS,"Arcus Biosciences, Inc.",6.6,Health Care,Major Pharmaceuticals
205,ARD,Ardagh Group S.A.,16.83,Consumer Durables,Containers/Packaging
206,ASC,Ardmore Shipping Corporation,6.56,Transportation,Marine Transportation
207,AFC,Ares Capital Corporation,26.18,,
208,ACRE,Ares Commercial Real Estate Corporation,14.92,Consumer Services,Real Estate Investment Trusts
209,ARDC,"Ares Dynamic Credit Allocation Fund, Inc.",15.09,,
210,ARES,Ares Management Corporation,26.68,Finance,Investment Managers
211,ARES^A,Ares Management Corporation,26.48,,
212,AGX,"Argan, Inc.",38.36,Basic Industries,Engineering & Construction
213,ARGD,"Argo Group International Holdings, Ltd.",25.7,Finance,Specialty Insurers
214,ARGO,"Argo Group International Holdings, Ltd.",65.65,Finance,Specialty Insurers
215,ANET,"Arista Networks, Inc.",230.95,Technology,Computer Communications Equipment
216,AI,Arlington Asset Investment Corp,6.18,Consumer Services,Real Estate Investment Trusts
217,AI^B,Arlington Asset Investment Corp,21.38,,
218,AI^C,Arlington Asset Investment Corp,23.02,,
219,AIC,Arlington Asset Investment Corp,24.41,Consumer Services,Real Estate Investment Trusts
220,AIW,Arlington Asset Investment Corp,24.3,Consumer Services,Real Estate Investment Trusts
221,ARLO,"Arlo Technologies, Inc.",3.91,Consumer Non-Durables,Consumer Electronics/Appliances
222,AHH,"Armada Hoffler Properties, Inc.",16.65,Finance,Real Estate
223,AHH^A,"Armada Hoffler Properties, Inc.",26.4,,
224,ARR,"ARMOUR Residential REIT, Inc.",17.42,Consumer Services,Real Estate Investment Trusts
225,ARR^B,"ARMOUR Residential REIT, Inc.",25.02,,
226,AFI,"Armstrong Flooring, Inc.",7.27,Consumer Non-Durables,Plastic Products
227,AWI,Armstrong World Industries Inc,95.42,Consumer Non-Durables,Plastic Products
228,ARW,"Arrow Electronics, Inc.",68.86,Technology,Electronic Components
229,AJG,Arthur J. Gallagher & Co.,86.45,Finance,Specialty Insurers
230,APAM,Artisan Partners Asset Management Inc.,27.19,Finance,Investment Managers
231,ASA,ASA Gold and Precious Metals Limited,12.68,,
232,ABG,Asbury Automotive Group Inc,91.17,Consumer Durables,Automotive Aftermarket
233,ASX,"ASE Technology Holding Co., Ltd.",4.25,Technology,Semiconductors
234,ASGN,ASGN Incorporated,59.21,Technology,Professional Services
235,AHT,Ashford Hospitality Trust Inc,2.75,Consumer Services,Real Estate Investment Trusts
236,AHT^D,Ashford Hospitality Trust Inc,23.37,,
237,AHT^F,Ashford Hospitality Trust Inc,19.77,,
238,AHT^G,Ashford Hospitality Trust Inc,19.71,,
239,AHT^H,Ashford Hospitality Trust Inc,20.17,,
240,AHT^I,Ashford Hospitality Trust Inc,20.45,,
241,ASH,Ashland Global Holdings Inc.,74.87,Consumer Durables,Specialty Chemicals
242,ASPN,"Aspen Aerogels, Inc.",6.2,Consumer Services,RETAIL: Building Materials
243,AHL^C,Aspen Insurance Holdings Limited,26.95,,
244,AHL^D,Aspen Insurance Holdings Limited,25.2,,
245,AMK,"AssetMark Financial Holdings, Inc.",27.08,Finance,Investment Managers
246,ASB,Associated Banc-Corp,20.09,Finance,Major Banks
247,ASB^C,Associated Banc-Corp,25.9,,
248,ASB^D,Associated Banc-Corp,25.52,,
249,ASB^E,Associated Banc-Corp,26.5,,
250,AC,"Associated Capital Group, Inc.",35.77,Finance,Investment Bankers/Brokers/Service
251,AIZ,"Assurant, Inc.",108.14,Finance,Accident &Health Insurance
252,AIZP,"Assurant, Inc.",113.7534,Finance,Accident &Health Insurance
253,AGO,Assured Guaranty Ltd.,41.91,Finance,Property-Casualty Insurers
254,AGO^B,Assured Guaranty Ltd.,27.89,,
255,AGO^E,Assured Guaranty Ltd.,26.95,,
256,AGO^F,Assured Guaranty Ltd.,25.84,,
257,AZN,Astrazeneca PLC,43.56,Health Care,Major Pharmaceuticals
258,HOME,At Home Group Inc.,5.27,Consumer Services,Home Furnishings
259,T,AT&T Inc.,33.49,Public Utilities,Telecommunications Equipment
260,TBB,AT&T Inc.,26.37,Public Utilities,Telecommunications Equipment
261,TBC,AT&T Inc.,26.66,Public Utilities,Telecommunications Equipment
262,ATTO,Atento S.A.,2.32,Public Utilities,Telecommunications Equipment
263,ATH,Athene Holding Ltd.,38.93,Finance,Life Insurance
264,ATH^A,Athene Holding Ltd.,26.83,,
265,ATKR,Atkore International Group Inc.,26.23,Miscellaneous,Industrial Machinery/Components
266,AT,Atlantic Power Corporation,2.3,Energy,Electric Utilities: Central
267,ATO,Atmos Energy Corporation,106.94,Public Utilities,Oil/Gas Transmission
268,AUO,AU Optronics Corp,2.43,Technology,Semiconductors
269,ACB,Aurora Cannabis Inc.,6.19,Consumer Durables,Specialty Chemicals
270,ATHM,Autohome Inc.,78.97,Technology,EDP Services
271,ALV,"Autoliv, Inc.",67.5,Capital Goods,Auto Parts:O.E.M.
272,AN,"AutoNation, Inc.",47.53,Consumer Durables,Automotive Aftermarket
273,AZO,"AutoZone, Inc.",1062.92,Consumer Services,Other Specialty Stores
274,AVLR,"Avalara, Inc.",77.5,Technology,Computer Software: Prepackaged Software
275,AVB,"AvalonBay Communities, Inc.",200.62,Consumer Services,Real Estate Investment Trusts
276,AGR,"Avangrid, Inc.",49.22,Public Utilities,Electric Utilities: Central
277,AVNS,"Avanos Medical, Inc.",37.92,Health Care,Industrial Specialties
278,AVTR,"Avantor, Inc.",16.01,Capital Goods,Biotechnology: Laboratory Analytical Instruments
279,AVTR^A,"Avantor, Inc.",56.96,,
280,AVYA,Avaya Holdings Corp.,10.59,Public Utilities,Telecommunications Equipment
281,AVY,Avery Dennison Corporation,108.34,Consumer Durables,Containers/Packaging
282,AVH,Avianca Holdings S.A.,3.88,Transportation,Air Freight/Delivery Services
283,AVA,Avista Corporation,45.18,Public Utilities,Power Generation
284,AVP,"Avon Products, Inc.",4.28,Consumer Non-Durables,Package Goods/Cosmetics
285,AVX,AVX Corporation,14.52,Capital Goods,Electrical Products
286,EQH,"AXA Equitable Holdings, Inc.",19.83,Finance,Specialty Insurers
287,AXTA,Axalta Coating Systems Ltd.,28.22,Basic Industries,Paints/Coatings
288,AXS,Axis Capital Holdings Limited,62.33,Finance,Property-Casualty Insurers
289,AXS^D,Axis Capital Holdings Limited,25.13,,
290,AXS^E,Axis Capital Holdings Limited,25.25,,
291,AX,"Axos Financial, Inc.",25.64,Finance,Savings Institutions
292,AXO,"Axos Financial, Inc.",25.949,Finance,Savings Institutions
293,AZUL,Azul S.A.,39.11,Transportation,Air Freight/Delivery Services
294,AZRE,Azure Power Global Limited,10.45,Public Utilities,Electric Utilities: Central
295,AZZ,AZZ Inc.,43.02,Consumer Durables,Building Products
296,BGS,"B&G Foods, Inc.",20.0,Consumer Non-Durables,Packaged Foods
297,BRPM,B. Riley Principal Merger Corp.,9.79,Finance,Business Services
298,BRPM.U,B. Riley Principal Merger Corp.,,,
299,BRPM.WS,B. Riley Principal Merger Corp.,,,
300,BW,Babcock,3.51,Capital Goods,Building Products
301,BGH,Babson Global Short Duration High Yield Fund,17.79,,
302,BMI,"Badger Meter, Inc.",52.8,Capital Goods,Industrial Machinery/Components
303,BCSF,"Bain Capital Specialty Finance, Inc.",18.03,,
304,BHGE,"Baker Hughes, a GE company",23.81,Energy,Metal Fabrications
305,BBN,BalckRock Taxable Municipal Bond Trust,24.2,,
306,BLL,Ball Corporation,73.25,Consumer Durables,Containers/Packaging
307,BANC,"Banc of California, Inc.",14.2,Finance,Major Banks
308,BANC^D,"Banc of California, Inc.",26.11,,
309,BANC^E,"Banc of California, Inc.",27.02,,
310,BBVA,Banco Bilbao Viscaya Argentaria S.A.,4.94,Finance,Commercial Banks
311,BBD,Banco Bradesco Sa,8.47,Finance,Major Banks
312,BBDO,Banco Bradesco Sa,7.51,Finance,Major Banks
313,BCH,Banco De Chile,27.46,Finance,Commercial Banks
314,BLX,"Banco Latinoamericano de Comercio Exterior, S.A.",19.91,Finance,Commercial Banks
315,BSBR,Banco Santander Brasil SA,10.47,Finance,Commercial Banks
316,BSAC,Banco Santander Chile,27.62,Finance,Commercial Banks
317,BSMX,"Banco Santander Mexico, S.A., Institucion de Ban",6.79,Finance,Commercial Banks
318,SAN,"Banco Santander, S.A.",4.06,Finance,Commercial Banks
319,SAN^B,"Banco Santander, S.A.",22.58,,
320,CIB,BanColombia S.A.,46.39,Finance,Commercial Banks
321,BXS,BancorpSouth Bank,27.53,,
322,BAC,Bank of America Corporation,28.08,Finance,Major Banks
323,BAC^A,Bank of America Corporation,26.53,,
324,BAC^B,Bank of America Corporation,26.93,,
325,BAC^C,Bank of America Corporation,26.22,,
326,BAC^E,Bank of America Corporation,22.45,,
327,BAC^K,Bank of America Corporation,26.91,,
328,BAC^L,Bank of America Corporation,1409.41,,
329,BAC^M,Bank of America Corporation,25.6,,
330,BAC^W.CL,Bank of America Corporation,,,
331,BAC^Y,Bank of America Corporation,25.86,Finance,Major Banks
332,BML^G,Bank of America Corporation,20.165,,
333,BML^H,Bank of America Corporation,19.99,,
334,BML^J,Bank of America Corporation,22.93,,
335,BML^L,Bank of America Corporation,21.67,,
336,BOH,Bank of Hawaii Corporation,80.56,Finance,Major Banks
337,BMO,Bank Of Montreal,71.87,Finance,Commercial Banks
338,NTB,Bank of N.T. Butterfield & Son Limited (The),28.14,Finance,Commercial Banks
339,BK,Bank Of New York Mellon Corporation (The),45.06,Finance,Major Banks
340,BK^C,Bank Of New York Mellon Corporation (The),25.3992,,
341,BNS,Bank of Nova Scotia (The),51.73,Finance,Major Banks
342,BKU,"BankUnited, Inc.",31.62,Finance,Savings Institutions
343,BCS,Barclays PLC,7.11,Finance,Commercial Banks
344,BBDC,"Barings BDC, Inc.",9.76,,
345,MCI,Barings Corporate Investors,15.89,,
346,MPV,Barings Participation Investors,16.7,Consumer Services,Miscellaneous
347,BNED,"Barnes & Noble Education, Inc",3.14,Consumer Services,Other Specialty Stores
348,BKS,"Barnes & Noble, Inc.",6.5,Consumer Services,Other Specialty Stores
349,B,"Barnes Group, Inc.",45.88,Capital Goods,Metal Fabrications
350,GOLD,Barrick Gold Corporation,17.59,Basic Industries,Precious Metals
351,BAS,"Basic Energy Services, Inc.",1.5,Energy,Oilfield Services/Equipment
352,BHC,Bausch Health Companies Inc.,23.32,Health Care,Major Pharmaceuticals
353,BAX,Baxter International Inc.,81.91,Health Care,Medical/Dental Instruments
354,BTE,Baytex Energy Corp,1.36,Energy,Oil & Gas Production
355,BBT,BB&T Corporation,47.37,Finance,Major Banks
356,BBT^D.CL,BB&T Corporation,,,
357,BBT^E.CL,BB&T Corporation,,,
358,BBT^F,BB&T Corporation,25.16,,
359,BBT^G,BB&T Corporation,25.15,,
360,BBT^H,BB&T Corporation,26.77,,
361,BBAR,BBVA Banco Frances S.A.,10.86,Finance,Commercial Banks
362,BBX,BBX Capital Corporation,3.93,Finance,Real Estate
363,BCE,"BCE, Inc.",45.98,Public Utilities,Telecommunications Equipment
364,BZH,"Beazer Homes USA, Inc.",10.94,Capital Goods,Homebuilding
365,BDX,"Becton, Dickinson and Company",236.34,Health Care,Medical/Dental Instruments
366,BDXA,"Becton, Dickinson and Company",58.41,Health Care,Medical/Dental Instruments
367,BDC,Belden Inc,45.0,Basic Industries,Telecommunications Equipment
368,BHE,"Benchmark Electronics, Inc.",25.92,Technology,Electrical Products
369,BRK.A,Berkshire Hathaway Inc.,,,
370,BRK.B,Berkshire Hathaway Inc.,,,
371,BHLB,"Berkshire Hills Bancorp, Inc.",29.81,Finance,Banks
372,BERY,"Berry Global Group, Inc.",42.63,Consumer Non-Durables,Plastic Products
373,BBY,"Best Buy Co., Inc.",66.14,Consumer Services,Consumer Electronics/Video Chains
374,BEST,BEST Inc.,4.77,Transportation,Trucking Freight/Courier Services
375,BHP,BHP Group Limited,50.43,Basic Industries,Precious Metals
376,BBL,BHP Group Plc,43.57,Energy,Coal Mining
377,BIG,"Big Lots, Inc.",24.01,Consumer Services,Department/Specialty Retail Stores
378,BH,Biglari Holdings Inc.,89.76,Consumer Services,Restaurants
379,BH.A,Biglari Holdings Inc.,,,
380,BHVN,Biohaven Pharmaceutical Holding Company Ltd.,39.57,Health Care,Major Pharmaceuticals
381,BIO,"Bio-Rad Laboratories, Inc.",318.8,Capital Goods,Biotechnology: Laboratory Analytical Instruments
382,BIO.B,"Bio-Rad Laboratories, Inc.",,,
383,BITA,Bitauto Holdings Limited,11.02,Technology,EDP Services
384,BJ,"BJ&#39;s Wholesale Club Holdings, Inc.",23.09,Consumer Services,Department/Specialty Retail Stores
385,BKH,Black Hills Corporation,77.08,Public Utilities,Electric Utilities: Central
386,BKI,"Black Knight, Inc.",60.66,Technology,Computer Software: Prepackaged Software
387,BSM,"Black Stone Minerals, L.P.",14.76,Energy,Oil & Gas Production
388,BB,BlackBerry Limited,6.85,Technology,Computer Software: Prepackaged Software
389,BGIO,BlackRock 2022 Global Income Opportunity Trust,9.32,,
