,Symbol,Name,LastSale,Sector,industry
2846,TRN,"Trinity Industries, Inc.",18.9,Capital Goods,Railroads
2847,TSE,Trinseo S.A.,33.52,Basic Industries,Major Chemicals
2848,TPVG,TriplePoint Venture Growth BDC Corp.,14.86,,
2849,TPVY,TriplePoint Venture Growth BDC Corp.,25.75,,
2850,GTS,Triple-S Management Corporation,21.74,Finance,Accident &Health Insurance
2851,TRTN,Triton International Limited,30.38,Technology,Diversified Commercial Services
2852,TRTN^A,Triton International Limited,26.84,,
2853,TRTN^B,Triton International Limited,26.15,,
2854,TGI,"Triumph Group, Inc.",23.05,Capital Goods,Aerospace
2855,TROX,Tronox Holdings plc,9.2,Basic Industries,Major Chemicals
2856,TBI,"TrueBlue, Inc.",19.5,Technology,Professional Services
2857,TNP,Tsakos Energy Navigation Ltd,2.75,Transportation,Marine Transportation
2858,TNP^C,Tsakos Energy Navigation Ltd,25.7106,,
2859,TNP^D,Tsakos Energy Navigation Ltd,21.8,,
2860,TNP^E,Tsakos Energy Navigation Ltd,22.18,,
2861,TNP^F,Tsakos Energy Navigation Ltd,21.8508,,
2862,TUFN,Tufin Software Technologies Ltd.,19.66,Technology,EDP Services
2863,TUP,Tupperware Brands Corporation,15.03,Consumer Non-Durables,Plastic Products
2864,TKC,Turkcell Iletisim Hizmetleri AS,5.44,Public Utilities,Telecommunications Equipment
2865,TPB,"Turning Point Brands, Inc.",38.3,Consumer Non-Durables,Tobacco
2866,TRQ,Turquoise Hill Resources Ltd.,0.5466,Basic Industries,Precious Metals
2867,TPC,Tutor Perini Corporation,11.66,Basic Industries,General Bldg Contractors - Nonresidential Bldgs
2868,TWLO,Twilio Inc.,124.52,Technology,Computer Software: Prepackaged Software
2869,TRWH,"Twin River Worldwide Holdings, Inc.",24.6,Consumer Services,Hotels/Resorts
2870,TWTR,"Twitter, Inc.",40.37,Technology,"Computer Software: Programming, Data Processing"
2871,TWO,Two Harbors Investments Corp,12.96,Consumer Services,Real Estate Investment Trusts
2872,TWO^A,Two Harbors Investments Corp,26.86,,
2873,TWO^B,Two Harbors Investments Corp,26.11,,
2874,TWO^C,Two Harbors Investments Corp,25.33,,
2875,TWO^D,Two Harbors Investments Corp,25.3001,,
2876,TWO^E,Two Harbors Investments Corp,25.209,,
2877,TYL,"Tyler Technologies, Inc.",241.25,Technology,Computer Software: Prepackaged Software
2878,TSN,"Tyson Foods, Inc.",83.83,Consumer Non-Durables,Meat/Poultry/Fish
2879,USB,U.S. Bancorp,53.05,Finance,Major Banks
2880,USB^A,U.S. Bancorp,825.2488,Finance,Major Banks
2881,USB^H,U.S. Bancorp,20.56,,
2882,USB^M,U.S. Bancorp,27.12,,
2883,USB^O,U.S. Bancorp,25.29,,
2884,USB^P,U.S. Bancorp,26.32,,
2885,USPH,"U.S. Physical Therapy, Inc.",122.2,Health Care,Medical/Nursing Services
2886,SLCA,"U.S. Silica Holdings, Inc.",11.19,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
2887,USX,"U.S. Xpress Enterprises, Inc.",4.44,Transportation,Trucking Freight/Courier Services
2888,UBER,"Uber Technologies, Inc.",39.05,Technology,Computer Software: Prepackaged Software
2889,UBS,UBS AG,10.89,Finance,Major Banks
2890,UDR,"UDR, Inc.",44.8,Consumer Services,Real Estate Investment Trusts
2891,UGI,UGI Corporation,49.42,Public Utilities,Natural Gas Distribution
2892,UGP,Ultrapar Participacoes S.A.,4.81,Public Utilities,Oil/Gas Transmission
2893,UMH,"UMH Properties, Inc.",12.68,Consumer Services,Real Estate Investment Trusts
2894,UMH^B,"UMH Properties, Inc.",26.4,,
2895,UMH^C,"UMH Properties, Inc.",25.6521,,
2896,UMH^D,"UMH Properties, Inc.",25.1799,,
2897,UA,"Under Armour, Inc.",18.4,Consumer Non-Durables,Apparel
2898,UAA,"Under Armour, Inc.",20.82,Consumer Non-Durables,Apparel
2899,UFI,"Unifi, Inc.",18.13,Consumer Non-Durables,Textiles
2900,UNF,Unifirst Corporation,193.02,Consumer Services,Other Consumer Services
2901,UN,Unilever NV,56.53,Basic Industries,Package Goods/Cosmetics
2902,UL,Unilever PLC,58.69,Basic Industries,Package Goods/Cosmetics
2903,UNP,Union Pacific Corporation,166.84,Transportation,Railroads
2904,UIS,Unisys Corporation,10.82,Technology,EDP Services
2905,UNT,Unit Corporation,4.68,Energy,Oil & Gas Production
2906,UMC,United Microelectronics Corporation,2.01,Technology,Semiconductors
2907,UNFI,"United Natural Foods, Inc.",7.98,Consumer Non-Durables,Food Distributors
2908,UPS,"United Parcel Service, Inc.",114.85,Transportation,Trucking Freight/Courier Services
2909,URI,"United Rentals, Inc.",113.35,Technology,Diversified Commercial Services
2910,USM,United States Cellular Corporation,37.88,Public Utilities,Telecommunications Equipment
2911,UZA,United States Cellular Corporation,25.47,Public Utilities,Telecommunications Equipment
2912,UZB,United States Cellular Corporation,26.4,Public Utilities,Telecommunications Equipment
2913,UZC,United States Cellular Corporation,26.58,Public Utilities,Telecommunications Equipment
2914,X,United States Steel Corporation,12.64,Basic Industries,Steel/Iron Ore
2915,UTX,United Technologies Corporation,125.75,Capital Goods,Aerospace
2916,UNH,UnitedHealth Group Incorporated,245.06,Health Care,Medical Specialities
2917,UTL,UNITIL Corporation,56.88,Public Utilities,Power Generation
2918,UNVR,Univar Inc.,20.51,Consumer Durables,Specialty Chemicals
2919,UVV,Universal Corporation,57.56,Consumer Services,Farming/Seeds/Milling
2920,UHT,Universal Health Realty Income Trust,88.97,Consumer Services,Real Estate Investment Trusts
2921,UHS,"Universal Health Services, Inc.",143.34,Health Care,Hospital/Nursing Management
2922,UVE,UNIVERSAL INSURANCE HOLDINGS INC,26.47,Finance,Property-Casualty Insurers
2923,UTI,Universal Technical Institute Inc,4.12,Consumer Services,Other Consumer Services
2924,UNM,Unum Group,28.69,Finance,Accident &Health Insurance
2925,UNMA,Unum Group,26.98,Finance,Accident &Health Insurance
2926,UE,Urban Edge Properties,16.24,Finance,Real Estate
2927,UBA,Urstadt Biddle Properties Inc.,20.83,Consumer Services,Real Estate Investment Trusts
2928,UBP,Urstadt Biddle Properties Inc.,16.28,Consumer Services,Real Estate Investment Trusts
2929,UBP^G,Urstadt Biddle Properties Inc.,25.6999,,
2930,UBP^H,Urstadt Biddle Properties Inc.,27.04,,
2931,USFD,US Foods Holding Corp.,35.14,Consumer Non-Durables,Food Distributors
2932,USAC,"USA Compression Partners, LP",16.36,Public Utilities,Natural Gas Distribution
2933,USNA,"USANA Health Sciences, Inc.",65.78,Consumer Durables,Specialty Chemicals
2934,USDP,USD Partners LP,10.66,Transportation,Railroads
2935,BIF,"USLIFE Income Fund, Inc.",10.72,,
2936,VFC,V.F. Corporation,80.46,Consumer Non-Durables,Apparel
2937,EGY,"VAALCO Energy, Inc. ",1.66,Energy,Oil & Gas Production
2938,MTN,"Vail Resorts, Inc.",234.12,Consumer Services,Services-Misc. Amusement & Recreation
2939,VAL,Valaris plc,5.23,,
2940,VALE,VALE S.A.,11.56,Basic Industries,Precious Metals
2941,VLO,Valero Energy Corporation,75.78,Energy,Integrated oil Companies
2942,VHI,"Valhi, Inc.",1.98,Basic Industries,Major Chemicals
2943,VMI,"Valmont Industries, Inc.",129.79,Capital Goods,Metal Fabrications
2944,VVV,Valvoline Inc.,21.74,Basic Industries,Major Chemicals
2945,VAPO,"Vapotherm, Inc.",14.4,Health Care,Medical/Dental Instruments
2946,VAR,"Varian Medical Systems, Inc.",111.63,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
2947,VGR,Vector Group Ltd.,10.62,Consumer Non-Durables,Farming/Seeds/Milling
2948,VEC,"Vectrus, Inc.",37.87,Consumer Services,Diversified Commercial Services
2949,VEDL,Vedanta  Limited,7.83,Capital Goods,Metal Fabrications
2950,VEEV,Veeva Systems Inc.,155.99,Technology,Computer Software: Prepackaged Software
2951,VNTR,Venator Materials PLC,3.08,Basic Industries,Major Chemicals
2952,VTR,"Ventas, Inc.",67.87,Consumer Services,Real Estate Investment Trusts
2953,VNE,"Veoneer, Inc.",17.1,Capital Goods,Auto Parts:O.E.M.
2954,VER,VEREIT Inc.,8.97,Consumer Services,Real Estate Investment Trusts
2955,VER^F,VEREIT Inc.,25.42,,
2956,VRTV,Veritiv Corporation,14.22,Consumer Services,Paper
2957,VZ,Verizon Communications Inc.,55.22,Public Utilities,Telecommunications Equipment
2958,VET,Vermilion Energy Inc.,16.42,Energy,Oil & Gas Production
2959,VRS,Verso Corporation,14.14,Basic Industries,Paper
2960,VSM,"Versum Materials, Inc.",51.65,Basic Industries,Major Chemicals
2961,VCIF,Vertical Capital Income Fund,10.33,,
2962,VVI,Viad Corp,66.43,Miscellaneous,Business Services
2963,VICI,VICI Properties Inc.,20.85,Consumer Services,Real Estate Investment Trusts
2964,VNCE,Vince Holding Corp.,12.64,Consumer Services,Clothing/Shoe/Accessory Stores
2965,VIPS,Vipshop Holdings Limited,6.6,Consumer Services,Catalog/Specialty Distribution
2966,ZTR,Virtus Global Dividend & Income Fund Inc.,11.02,,
2967,VGI,Virtus Global Multi-Sector Income Fund,12.59,,
2968,ZF,Virtus Total Return Fund Inc.,10.4,,
2969,V,Visa Inc.,168.86,Miscellaneous,Business Services
2970,VSH,"Vishay Intertechnology, Inc.",15.87,Capital Goods,Electrical Products
2971,VPG,"Vishay Precision Group, Inc.",39.14,Capital Goods,Electrical Products
2972,VIST,"Vista Oil & Gas, S.A.B. de C.V.",8.75,Energy,Oil & Gas Production
2973,VSTO,Vista Outdoor Inc.,7.53,Capital Goods,Ordnance And Accessories
2974,VST,Vistra Energy Corp.,21.72,Public Utilities,Electric Utilities: Central
2975,VST.WS.A,Vistra Energy Corp.,,,
2976,VSI,"Vitamin Shoppe, Inc",4.33,Consumer Non-Durables,Food Chains
2977,VSLR,"Vivint Solar, Inc.",8.31,Capital Goods,Building Products
2978,VMW,"Vmware, Inc.",155.76,Technology,Computer Software: Prepackaged Software
2979,VOC,VOC Energy Trust,5.12,Energy,Oil & Gas Production
2980,VCRA,"Vocera Communications, Inc.",26.38,Capital Goods,Telecommunications Equipment
2981,VG,Vonage Holdings Corp.,11.71,Public Utilities,Telecommunications Equipment
2982,VNO,Vornado Realty Trust,61.04,Consumer Services,Real Estate Investment Trusts
2983,VNO^K,Vornado Realty Trust,25.23,,
2984,VNO^L,Vornado Realty Trust,24.95,,
2985,VNO^M,Vornado Realty Trust,25.18,,
2986,VJET,voxeljet AG,1.765,Capital Goods,Industrial Machinery/Components
2987,IAE,Voya Asia Pacific High Dividend Equity Income Fund,8.18,,
2988,IHD,Voya Emerging Markets High Income Dividend Equity Fund,6.88,,
2989,VOYA,"Voya Financial, Inc.",52.4,Finance,Life Insurance
2990,VOYA^B,"Voya Financial, Inc.",25.91,,
2991,IGA,Voya Global Advantage and Premium Opportunity Fund,10.59,,
2992,IGD,Voya Global Equity Dividend and Premium Opportunity Fund,6.42,,
2993,IDE,"Voya Infrastructure, Industrials and Materials Fund",11.14,,
2994,IID,Voya International High Dividend Equity Income Fund,5.55,,
2995,IRR,Voya Natural Resources Equity Income Fund,4.47,,
2996,PPR,Voya Prime Rate Trust,4.75,,
2997,VMC,Vulcan Materials Company,137.58,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
2998,WTI,"W&T Offshore, Inc.",4.19,Energy,Oil & Gas Production
2999,WPC,W.P. Carey Inc.,83.45,Consumer Services,Real Estate Investment Trusts
3000,WRB,W.R. Berkley Corporation,67.88,Finance,Property-Casualty Insurers
3001,WRB^B,W.R. Berkley Corporation,25.88,,
3002,WRB^C,W.R. Berkley Corporation,27.12,,
3003,WRB^D,W.R. Berkley Corporation,25.895,,
3004,WRB^E,W.R. Berkley Corporation,26.349,,
3005,GRA,W.R. Grace & Co.,66.82,Basic Industries,Major Chemicals
3006,GWW,"W.W. Grainger, Inc.",268.83,Consumer Services,Office Equipment/Supplies/Services
3007,WNC,Wabash National Corporation,15.05,Capital Goods,Construction/Ag Equipment/Trucks
3008,WBC,Wabco Holdings Inc.,131.84,Capital Goods,Auto Manufacturing
