Symbol,Name,Last_Sale,Start_of_Year_Sale,YTD_Change_Percent,Sector
AZRE,Azure Power Global Limited,10.45,9.05,13.397129186602857,Public Utilities
AZUL,Azul S.A.,39.11,27.69,29.199693173101505,Transportation
AZZ,AZZ Inc.,43.02,40.36,6.18317061831707,Consumer Durables
B,"Barnes Group, Inc.",45.88,53.62,-16.870095902353953,Capital Goods
BA,Boeing Company (The),331.06,322.5,2.5856340240439804,Capital Goods
BABA,Alibaba Group Holding Limited,153.67,137.07,10.802368712175438,Miscellaneous
BAC,Bank of America Corporation,28.08,24.64,12.250712250712244,Finance
BAH,Booz Allen Hamilton Holding Corporation,67.36,45.07,33.09085510688836,Consumer Services
BAM,Brookfield Asset Management Inc,47.75,38.35,19.685863874345547,Consumer Services
BANC,"Banc of California, Inc.",14.2,13.31,6.267605633802809,Finance
BAP,Credicorp Ltd.,209.16,221.67,-5.981067125645435,Finance
BAS,"Basic Energy Services, Inc.",1.5,3.84,-155.99999999999997,Energy
BAX,Baxter International Inc.,81.91,65.82,19.643511170797222,Health Care
BB,BlackBerry Limited,6.85,7.11,-3.7956204379562144,Technology
BBAR,BBVA Banco Frances S.A.,10.86,11.33,-4.327808471454887,Finance
BBD,Banco Bradesco Sa,8.47,8.24,2.715466351829993,Finance
BBDO,Banco Bradesco Sa,7.51,8.68,-15.579227696404793,Finance
BBL,BHP Group Plc,43.57,41.89,3.8558641266926776,Energy
BBT,BB&T Corporation,47.37,43.32,8.549715009499678,Finance
BBU,Brookfield Business Partners L.P.,36.75,30.39,17.30612244897959,Basic Industries
BBVA,Banco Bilbao Viscaya Argentaria S.A.,4.94,5.29,-7.085020242914972,Finance
BBW,"Build-A-Bear Workshop, Inc.",3.75,3.95,-5.3333333333333375,Consumer Services
BBX,BBX Capital Corporation,3.93,5.73,-45.80152671755726,Finance
BBY,"Best Buy Co., Inc.",66.14,52.96,19.927426670698516,Consumer Services
BC,Brunswick Corporation,45.46,46.45,-2.177738671359441,Energy
BCC,"Boise Cascade, L.L.C.",28.88,23.85,17.4168975069252,Consumer Services
BCE,"BCE, Inc.",45.98,39.53,14.027838190517608,Public Utilities
BCEI,"Bonanza Creek Energy, Inc.",20.52,20.67,-0.730994152046794,Energy
BCH,Banco De Chile,27.46,28.6,-4.151493080844867,Finance
BCO,Brink&#39;s Company (The),85.38,64.65,24.279690794096968,Transportation
BCRH,Blue Capital Reinsurance Holdings Ltd.,7.98,5.5,31.077694235588975,Finance
BCS,Barclays PLC,7.11,7.54,-6.0478199718706005,Finance
BDC,Belden Inc,45.0,41.77,7.17777777777777,Basic Industries
BDN,Brandywine Realty Trust,14.26,12.87,9.747545582047689,Consumer Services
BDX,"Becton, Dickinson and Company",236.34,225.32,4.662773969704667,Health Care
BDXA,"Becton, Dickinson and Company",58.41,57.67,1.2669063516521057,Health Care
BE,Bloom Energy Corporation,9.62,9.98,-3.742203742203755,Energy
BEDU,Bright Scholar Education Holdings Limited,9.08,9.21,-1.4317180616740173,Consumer Services
BEN,"Franklin Resources, Inc.",30.53,29.66,2.849656075990832,Finance
BEP,Brookfield Renewable Partners L.P.,35.93,25.9,27.915391038129698,Public Utilities
BERY,"Berry Global Group, Inc.",42.63,47.53,-11.494252873563214,Consumer Non-Durables
BEST,BEST Inc.,4.77,4.11,13.83647798742137,Transportation
BFAM,Bright Horizons Family Solutions Inc.,147.8,111.45,24.594046008119083,Miscellaneous
BFS,"Saul Centers, Inc.",51.4,47.22,8.132295719844358,Consumer Services
BG,Bunge Limited,55.3,53.44,3.3634719710669074,Consumer Non-Durables
BGG,Briggs & Stratton Corporation,8.61,13.08,-51.916376306620215,Energy
BGS,"B&G Foods, Inc.",20.0,28.91,-44.55,Consumer Non-Durables
BH,Biglari Holdings Inc.,89.76,113.58,-26.537433155080205,Consumer Services
BHC,Bausch Health Companies Inc.,23.32,18.47,20.797598627787313,Health Care
BHE,"Benchmark Electronics, Inc.",25.92,21.18,18.28703703703704,Technology
BHGE,"Baker Hughes, a GE company",23.81,21.5,9.701805963880718,Energy
BHLB,"Berkshire Hills Bancorp, Inc.",29.81,26.97,9.5270043609527,Finance
BHP,BHP Group Limited,50.43,48.29,4.243505849692644,Basic Industries
BHR,Braemar Hotels & Resorts Inc.,8.15,8.93,-9.570552147239257,Consumer Services
BHVN,Biohaven Pharmaceutical Holding Company Ltd.,39.57,36.98,6.545362648471073,Health Care
BID,Sotheby&#39;s,58.31,39.74,31.847024524095353,Miscellaneous
BIG,"Big Lots, Inc.",24.01,28.92,-20.44981257809246,Consumer Services
BIO,"Bio-Rad Laboratories, Inc.",318.8,232.22,27.158092848180683,Capital Goods
BIP,Brookfield Infrastructure Partners LP,43.94,34.53,21.415566681838865,Consumer Services
BITA,Bitauto Holdings Limited,11.02,24.77,-124.77313974591652,Technology
BJ,"BJ&#39;s Wholesale Club Holdings, Inc.",23.09,22.16,4.027717626678214,Consumer Services
BK,Bank Of New York Mellon Corporation (The),45.06,47.07,-4.460719041278291,Finance
BKD,Brookdale Senior Living Inc.,7.34,6.7,8.719346049046317,Health Care
BKE,"Buckle, Inc. (The)",19.86,19.34,2.6183282980866043,Consumer Services
BKH,Black Hills Corporation,77.08,62.78,18.552153606642445,Public Utilities
BKI,"Black Knight, Inc.",60.66,45.06,25.717111770524227,Technology
BKS,"Barnes & Noble, Inc.",6.5,6.7568,-3.950769230769233,Consumer Services
BKU,"BankUnited, Inc.",31.62,29.94,5.313092979127133,Finance
BLD,TopBuild Corp.,87.85,45.0,48.77632327831531,Basic Industries
BLK,"BlackRock, Inc.",431.32,392.82,8.926087359732913,Finance
BLL,Ball Corporation,73.25,45.98,37.22866894197953,Consumer Durables
BLW,Citigroup Inc.,15.29,13.37,12.557226945716154,Finance
BLX,"Banco Latinoamericano de Comercio Exterior, S.A.",19.91,17.3,13.108990457056752,Finance
BMA,Macro Bank Inc.,63.25,44.22,30.086956521739133,Finance
BMI,"Badger Meter, Inc.",52.8,49.21,6.799242424242418,Capital Goods
BMO,Bank Of Montreal,71.87,65.35,9.071935438987074,Finance
BMY,Bristol-Myers Squibb Company,45.38,51.98,-14.543851917144101,Health Care
BNED,"Barnes & Noble Education, Inc",3.14,4.01,-27.70700636942674,Consumer Services
BNS,Bank of Nova Scotia (The),51.73,49.87,3.5955924995167208,Finance
BOH,Bank of Hawaii Corporation,80.56,67.32,16.434955312810338,Finance
BOOT,"Boot Barn Holdings, Inc.",30.44,17.03,44.053876478318,Consumer Services
BOX,"Box, Inc.",14.78,16.88,-14.208389715832205,Technology
BP,BP p.l.c.,37.66,37.92,-0.6903876792352766,Energy
BPL,Buckeye Partners L.P.,41.62,28.99,30.34598750600673,Energy
BPMP,BP Midstream Partners LP,14.97,15.54,-3.807615230460912,Energy
BPT,BP Prudhoe Bay Royalty Trust,9.06,21.64,-138.8520971302428,Energy
BR,"Broadridge Financial Solutions, Inc.",121.08,96.25,20.507102741988767,Miscellaneous
BRC,Brady Corporation,49.08,43.46,11.450692746536264,Consumer Durables
BRFS,BRF S.A.,8.45,5.68,32.781065088757394,Consumer Non-Durables
BRO,"Brown & Brown, Inc.",35.28,27.56,21.88208616780046,Finance
BRT,BRT Apartments Corp.,13.53,11.44,15.447154471544716,Consumer Services
BRX,Brixmor Property Group Inc.,18.32,14.69,19.81441048034935,Consumer Services
BSA,BrightSphere Investment Group Inc.,24.28,20.74,14.579901153212532,Finance
BSAC,Banco Santander Chile,27.62,29.9,-8.25488776249094,Finance
BSBR,Banco Santander Brasil SA,10.47,11.13,-6.303724928366764,Finance
BSIG,BrightSphere Investment Group Inc.,9.39,10.68,-13.738019169329064,Finance
BSM,"Black Stone Minerals, L.P.",14.76,15.48,-4.878048780487809,Energy
BSMX,"Banco Santander Mexico, S.A., Institucion de Ban",6.79,6.16,9.278350515463917,Finance
BSX,Boston Scientific Corporation,41.36,35.34,14.555125725338483,Health Care
BT,BT Group plc,11.39,15.2,-33.450395083406484,Public Utilities
BTE,Baytex Energy Corp,1.36,1.76,-29.411764705882344,Energy
BTI,British American Tobacco p.l.c.,36.05,31.86,11.622746185852977,Consumer Non-Durables
BTU,Peabody Energy Corporation,18.05,30.48,-68.86426592797783,Energy
BUD,Anheuser-Busch Inbev SA,98.19,65.81,32.97688155616661,Consumer Non-Durables
BURL,"Burlington Stores, Inc.",171.73,162.67,5.275723519478253,Consumer Services
BV,"BrightView Holdings, Inc.",18.75,10.21,45.54666666666666,Consumer Non-Durables
BVN,Buenaventura Mining Company Inc.,15.22,16.22,-6.570302233902748,Basic Industries
BW,Babcock,3.51,3.9,-11.111111111111114,Capital Goods
BWA,BorgWarner Inc.,34.46,34.74,-0.8125362739408042,Capital Goods
BWXT,"BWX Technologies, Inc.",48.7,38.23,21.498973305954834,Energy
BX,The Blackstone Group Inc.,44.53,29.81,33.05636649449809,Finance
BXC,BlueLinx Holdings Inc.,21.83,24.71,-13.192853870819985,Capital Goods
BXG,Bluegreen Vacations Corporation,9.28,12.93,-39.33189655172414,Finance
BXMT,"Capital Trust, Inc.",34.66,31.86,8.07847663012117,Consumer Services
BXP,"Boston Properties, Inc.",127.34,112.55,11.614575153133348,Consumer Services
BY,"Byline Bancorp, Inc.",17.61,16.66,5.394662123793295,Finance
BYD,Boyd Gaming Corporation,25.37,20.78,18.09223492313756,Consumer Services
BZH,"Beazer Homes USA, Inc.",10.94,9.48,13.345521023765988,Capital Goods
C,Citigroup Inc.,65.18,52.06,20.128873887695615,Finance
CAAP,Corporacion America Airports SA,7.3,6.63,9.178082191780822,Transportation
CABO,"Cable One, Inc.",1168.58,820.1,29.820808160331335,Consumer Services
CACI,"CACI International, Inc.",205.14,144.03,29.789412108803738,Technology
CADE,Cadence Bancorporation,15.41,16.78,-8.890330953926028,Finance
CAE,CAE Inc,26.62,18.35,31.066867017280238,Miscellaneous
CAG,"ConAgra Brands, Inc.",28.0,21.36,23.714285714285715,Consumer Non-Durables
CAH,"Cardinal Health, Inc.",45.55,44.6,2.085620197585062,Health Care
CAI,"CAI International, Inc.",21.47,23.23,-8.197484862598984,Technology
CAJ,"Canon, Inc.",26.53,27.6,-4.033169996230683,Miscellaneous
CAL,"Caleres, Inc.",15.16,27.83,-83.57519788918204,Consumer Non-Durables
CALX,"Calix, Inc",5.96,9.75,-63.59060402684564,Consumer Services
CANG,Cango Inc.,6.0,7.94,-32.33333333333334,Technology
CAPL,CrossAmerica Partners LP,16.28,14.16,13.022113022113027,Energy
CARS,Cars.com Inc.,11.82,21.5,-81.89509306260575,Technology
CAT,"Caterpillar, Inc.",121.65,127.07,-4.4554048499794385,Capital Goods
CATO,Cato Corporation (The),13.47,14.27,-5.939123979213059,Consumer Services
CB,Chubb Limited,148.49,129.18,13.004242709946798,Finance
CBB,Cincinnati Bell Inc,3.41,7.78,-128.1524926686217,Public Utilities
CBD,Companhia Brasileira de Distribuicao,23.47,20.77,11.504047720494246,Consumer Services
CBL,"CBL & Associates Properties, Inc.",0.9312,1.92,-106.18556701030926,Consumer Services
CBM,Cambrex Corporation,40.67,37.76,7.15515121711336,Health Care
CBPX,"Continental Building Products, Inc.",22.31,25.45,-14.074406095921116,Capital Goods
CBRE,"CBRE Group, Inc.",50.79,40.04,21.165583776333925,Finance
CBS,CBS Corporation,49.06,43.72,10.884631064003267,Consumer Services
CBT,Cabot Corporation,39.52,42.94,-8.653846153846139,Basic Industries
CBU,"Community Bank System, Inc.",61.36,58.3,4.986962190352025,Finance
CBZ,"CBIZ, Inc.",22.83,19.7,13.710030661410421,Miscellaneous
CC,Chemours Company (The),13.78,28.22,-104.78955007256894,Basic Industries
CCC,Clarivate Analytics Plc,15.68,9.55,39.094387755102034,Technology
CCEP,Coca-Cola European Partners plc,54.33,45.85,15.608319528805442,Consumer Non-Durables
CCH,Collier Creek Holdings,10.24,9.65,5.761718749999998,Finance
CCI,Crown Castle International Corporation,133.13,108.63,18.40306467362728,Consumer Services
CCJ,Cameco Corporation,8.67,11.35,-30.911188004613603,Basic Industries
CCK,"Crown Holdings, Inc.",63.35,41.57,34.38042620363063,Consumer Durables
CCL,Carnival Corporation,45.21,49.3,-9.046671090466702,Consumer Services
CCM,Concord Medical Services Holdings Limited,2.68,3.56,-32.83582089552238,Health Care
CCO,"Clear Channel Outdoor Holdings, Inc.",2.5,5.19,-107.60000000000001,Consumer Services
CCR,CONSOL Coal Resources LP,15.41,16.41,-6.489292667099286,Energy
CCS,"Century Communities, Inc.",25.94,17.26,33.46183500385504,Capital Goods
CCU,"Compania Cervecerias Unidas, S.A.",26.61,25.13,5.5618188650883145,Consumer Non-Durables
CCX,Churchill Capital Corp II,9.93,903.16,-8995.266868076536,Finance
CCZ,Comcast Corporation,52.0,51.32,1.307692307692307,Consumer Services
CDAY,Ceridian HCM Holding Inc.,50.73,34.49,32.01261580918588,Technology
CDE,"Coeur Mining, Inc.",5.12,4.47,12.695312500000005,Basic Industries
CDR,"Cedar Realty Trust, Inc.",2.48,3.14,-26.612903225806456,Consumer Services
CE,Celanese Corporation,103.19,89.97,12.811318926252543,Basic Industries
CEA,China Eastern Airlines Corporation Ltd.,23.81,27.38,-14.993700125997483,Transportation
CEIX,CNX Resources Corporation,19.13,31.71,-65.76058546785156,Energy
CEL,"Cellcom Israel, Ltd.",2.65,5.88,-121.88679245283018,Public Utilities
CELP,"Cypress Energy Partners, L.P.",7.52,5.62,25.265957446808507,Energy
CEO,CNOOC Limited,150.8,152.45,-1.0941644562334065,Energy
CEPU,Central Puerto S.A.,8.45,9.2,-8.875739644970416,Public Utilities
CEQP,Crestwood Equity Partners LP,35.13,27.91,20.55223455735839,Consumer Services
CF,"CF Industries Holdings, Inc.",50.74,43.51,14.249113125739068,Basic Industries
CFG,"Citizens Financial Group, Inc.",34.62,29.73,14.124783362218363,Finance
CFR,"Cullen/Frost Bankers, Inc.",85.92,87.94,-2.3510242085661033,Finance
CFX,Colfax Corporation,24.71,20.9,15.418858761634974,Capital Goods
CGA,"China Green Agriculture, Inc.",4.1,6.0,-46.34146341463416,Basic Industries
CGC,Canopy Growth Corporation,31.38,26.87,14.372211599745055,Consumer Durables
CHA,China Telecom Corp Ltd,42.56,50.73,-19.19642857142856,Public Utilities
CHAP,"Chaparral Energy, Inc.",2.84,4.92,-73.23943661971832,Energy
CHCT,Community Healthcare Trust Incorporated,41.46,28.83,30.4630969609262,Consumer Services
CHD,"Church & Dwight Company, Inc.",74.14,65.76,11.30294038305907,Basic Industries
CHE,Chemed Corp.,406.66,283.28,30.339841636748154,Health Care
CHGG,"Chegg, Inc.",43.12,28.42,34.09090909090908,Consumer Services
CHH,"Choice Hotels International, Inc.",81.34,71.58,11.999016474059509,Consumer Services
CHK,Chesapeake Energy Corporation,1.56,2.1,-34.61538461538461,Energy
CHKR,Chesapeake Granite Wash Trust,1.0233,1.11,-8.472588683670477,Energy
CHL,China Mobile (Hong Kong) Ltd.,40.14,48.0,-19.581464872944693,Public Utilities
CHMI,Cherry Hill Mortgage Investment Corporation,14.92,17.54,-17.56032171581769,Consumer Services
CHRA,"Charah Solutions, Inc.",4.88,8.35,-71.10655737704917,Basic Industries
CHS,"Chico&#39;s FAS, Inc.",2.92,5.62,-92.46575342465754,Consumer Services
CHSP,Chesapeake Lodging Trust,26.17,24.35,6.954528085594193,Consumer Services
CHT,"Chunghwa Telecom Co., Ltd.",33.71,35.79,-6.170275882527434,Public Utilities
CHU,China Unicom (Hong Kong) Ltd,9.16,10.66,-16.375545851528383,Public Utilities
CI,Cigna Corporation,159.0,189.92,-19.44654088050314,Health Care
CIA,"Citizens, Inc.",6.76,7.52,-11.242603550295856,Finance
CIB,BanColombia S.A.,46.39,38.1,17.870230653158007,Finance
CIEN,Ciena Corporation,41.25,33.91,17.7939393939394,Public Utilities
CIG,Comp En De Mn Cemig ADS,3.51,3.56,-1.4245014245014322,Public Utilities
CIM,Chimera Investment Corporation,19.1,17.82,6.7015706806282775,Consumer Services
CINR,Ciner Resources LP,16.13,21.45,-32.98202107873528,Basic Industries
CIO,"City Office REIT, Inc.",12.55,10.25,18.32669322709164,Consumer Services
CIR,"CIRCOR International, Inc.",37.39,21.3,43.032896496389405,Capital Goods
CISN,Cision Ltd.,9.78,11.7,-19.631901840490798,Technology
CIT,CIT Group Inc (DEL),45.23,38.27,15.38801680300684,Finance
CJ,"C&J Energy Services, Inc",10.05,13.5,-34.32835820895521,Energy
CKH,"SEACOR Holdings, Inc.",45.56,37.0,18.78841088674276,Transportation
CL,Colgate-Palmolive Company,68.8,59.52,13.488372093023248,Consumer Non-Durables
CLB,Core Laboratories N.V.,42.96,59.66,-38.87337057728118,Energy
CLDR,"Cloudera, Inc.",6.48,11.06,-70.679012345679,Technology
CLDT,Chatham Lodging Trust (REIT),17.11,17.68,-3.331385154880189,Consumer Services
CLF,Cleveland-Cliffs Inc.,8.83,7.69,12.910532276330688,Basic Industries
CLGX,"CoreLogic, Inc.",44.84,33.42,25.46833184656557,Technology
CLH,"Clean Harbors, Inc.",73.22,49.35,32.60038240917782,Basic Industries
CLI,Mack-Cali Realty Corporation,22.51,19.59,12.972012438916044,Consumer Services
CLNC,"Colony Credit Real Estate, Inc.",15.61,15.79,-1.1531069827033935,Consumer Services
CLNY,"Colony Capital, Inc.",5.41,4.68,13.493530499075792,Consumer Services
CLPR,Clipper Realty Inc.,10.53,13.07,-24.121557454890798,Consumer Services
CLR,"Continental Resources, Inc.",31.54,40.19,-27.425491439441974,Energy
CLS,"Celestica, Inc.",6.78,8.77,-29.351032448377566,Technology
CLW,Clearwater Paper Corporation,19.61,24.37,-24.273329933707302,Basic Industries
CLX,Clorox Company (The),155.03,154.14,0.5740824356576242,Consumer Durables
CM,Canadian Imperial Bank of Commerce,75.86,74.54,1.7400474558396957,Finance
CMA,Comerica Incorporated,64.43,68.69,-6.611826788762984,Finance
CMC,Commercial Metals Company,16.25,16.02,1.415384615384618,Basic Industries
CMCM,Cheetah Mobile Inc.,3.09,6.11,-97.73462783171523,Technology
CMD,Cantel Medical Corp.,91.29,74.45,18.44670829225545,Health Care
CMG,"Chipotle Mexican Grill, Inc.",780.21,431.79,44.65720767485677,Consumer Services
CMI,Cummins Inc.,151.43,133.64,11.748002377336075,Energy
CMO,Capstead Mortgage Corporation,8.16,6.67,18.25980392156863,Consumer Services
CMP,"Compass Minerals International, Inc.",53.43,41.69,21.972674527419056,Basic Industries
CMRE,Costamare Inc.,5.4,4.39,18.703703703703713,Transportation
CMS,CMS Energy Corporation,58.22,49.65,14.720027481964962,Public Utilities
CMSA,CMS Energy Corporation,26.25,23.7,9.714285714285717,Public Utilities
CMSC,CMS Energy Corporation,27.09,24.06,11.18493909191584,Public Utilities
CNA,CNA Financial Corporation,46.31,44.15,4.664219391060254,Finance
CNC,Centene Corporation,48.52,57.65,-18.816982687551516,Health Care
CNDT,Conduent Incorporated,8.43,10.63,-26.09727164887309,Miscellaneous
CNF,CNFinance Holdings Limited,5.58,5.51,1.2544802867383564,Finance
CNHI,CNH Industrial N.V.,9.23,9.21,0.21668472372697264,Capital Goods
CNI,Canadian National Railway Company,91.27,74.11,18.801358606332855,Transportation
CNK,Cinemark Holdings Inc,39.57,35.8,9.527419762446305,Consumer Services
CNNE,"Cannae Holdings, Inc.",28.6,17.12,40.13986013986014,Consumer Services
CNO,"CNO Financial Group, Inc.",15.24,14.88,2.362204724409445,Finance
CNP,"CenterPoint Energy, Inc.",28.55,28.23,1.1208406304728555,Public Utilities
CNQ,Canadian Natural Resources Limited,23.14,24.13,-4.278305963699215,Energy
CNR,"Cornerstone Building Brands, Inc.",5.94,7.25,-22.053872053872045,Capital Goods
CNS,Cohen & Steers Inc,50.44,34.32,31.958762886597935,Finance
CNX,CNX Resources Corporation,6.83,11.42,-67.20351390922401,Energy
CNXM,CNX Midstream Partners LP,14.61,16.28,-11.430527036276535,Public Utilities
CO,Global Cord Blood Corporation,5.52,6.45,-16.847826086956534,Finance
CODI,Compass Diversified Holdings,18.41,12.45,32.37370994024987,Consumer Durables
COE,China Online Education Group,5.3,7.22,-36.22641509433962,Consumer Services
COF,Capital One Financial Corporation,86.62,75.59,12.733779727545603,Finance
COG,Cabot Oil & Gas Corporation,17.45,22.35,-28.08022922636105,Energy
COLD,Americold Realty Trust,33.17,25.54,23.002713295146222,Consumer Services
COO,"The Cooper Companies, Inc. ",325.68,254.5,21.855809383443873,Health Care
COP,ConocoPhillips,54.68,62.35,-14.027066569129484,Energy
COR,CoreSite Realty Corporation,108.83,87.23,19.847468528898276,Consumer Services
CORR,"CorEnergy Infrastructure Trust, Inc.",41.16,33.08,19.63070942662779,Consumer Services
COT,Cott Corporation,12.44,13.94,-12.057877813504824,Consumer Non-Durables
COTY,Coty Inc.,10.15,6.56,35.369458128078826,Consumer Non-Durables
CP,Canadian Pacific Railway Limited,228.17,177.62,22.154533900162154,Transportation
CPA,"Copa Holdings, S.A.",98.3,78.71,19.928789420142426,Transportation
CPAC,Cementos Pacasmayo S.A.A.,8.65,9.5,-9.826589595375717,Capital Goods
CPB,Campbell Soup Company,41.21,32.99,19.946614899296282,Consumer Non-Durables
CPE,Callon Petroleum Company,4.33,6.49,-49.88452655889146,Energy
CPF,CPB Inc.,28.2,24.35,13.652482269503539,Finance
CPG,Crescent Point Energy Corporation,2.96,3.02,-2.027027027027029,Energy
CPK,Chesapeake Utilities Corporation,90.8,81.3,10.462555066079297,Public Utilities
CPL,CPFL Energia S.A.,16.54,14.8,10.51995163240628,Public Utilities
CPLG,CorePoint Lodging Inc.,11.03,12.25,-11.060743427017233,Consumer Services
CPRI,Capri Holdings Limited,31.71,37.92,-19.5837275307474,Consumer Non-Durables
CPS,Cooper-Standard Holdings Inc.,40.72,62.12,-52.554027504911595,Capital Goods
CPT,Camden Property Trust,101.74,88.05,13.45586789856497,Consumer Services
CR,Crane Co.,77.75,72.18,7.163987138263657,Capital Goods
CRC,California Resources Corporation,11.37,17.04,-49.868073878627975,Energy
CRCM,"Care.com, Inc.",10.22,19.31,-88.94324853228962,Consumer Services
CRH,CRH PLC,31.3,26.35,15.814696485623001,Capital Goods
CRI,"Carter&#39;s, Inc.",86.93,81.62,6.108363050730475,Consumer Non-Durables
CRK,"Comstock Resources, Inc.",5.93,4.53,23.6087689713322,Energy
CRL,"Charles River Laboratories International, Inc.",126.51,113.18,10.536716465101572,Health Care
CRM,Salesforce.com Inc,142.82,136.97,4.096064976893989,Technology
CRR,"Carbo Ceramics, Inc.",1.26,3.48,-176.19047619047618,Capital Goods
CRS,Carpenter Technology Corporation,45.84,35.61,22.316753926701576,Basic Industries
CRT,Cross Timbers Royalty Trust,10.32,10.92,-5.813953488372089,Energy
CRY,"CryoLife, Inc.",26.68,28.38,-6.371814092953521,Health Care
CS,Credit Suisse Group,11.37,10.86,4.485488126649075,Finance
CSL,Carlisle Companies Incorporated,137.09,100.52,26.675906338901456,Basic Industries
CSLT,"Castlight Health, inc.",1.58,2.17,-37.341772151898724,Technology
CSS,"CSS Industries, Inc.",5.0,8.97,-79.40000000000002,Consumer Services
CSTM,Constellium SE,11.19,6.99,37.533512064343164,Basic Industries
CSU,Capital Senior Living Corporation,4.94,6.8,-37.651821862348164,Health Care
CSV,"Carriage Services, Inc.",22.5,15.5,31.11111111111111,Consumer Services
CTAA,Qwest Corporation,25.965,20.69,20.315809743885996,Public Utilities
CTB,Cooper Tire & Rubber Company,25.43,32.33,-27.133307117577658,Consumer Durables
CTBB,Qwest Corporation,24.08,18.74,22.17607973421927,Public Utilities
CTDD,Qwest Corporation,24.87,18.98,23.683152392440693,Public Utilities
CTK,CooTek (Cayman) Inc.,7.88,8.32,-5.58375634517767,Technology
CTL,"CenturyLink, Inc.",11.79,15.15,-28.498727735368966,Public Utilities
CTLT,"Catalent, Inc.",53.47,31.18,41.68692724892463,Health Care
CTRA,"Contura Energy, Inc.",31.78,65.74,-106.8596601636249,Energy
CTS,CTS Corporation,29.19,25.89,11.305241521068861,Technology
CTST,CannTrust Holdings Inc.,2.17,4.82,-122.11981566820278,Consumer Durables
CTT           ,"CatchMark Timber Trust, Inc.",9.58,6.9028,27.945720250521923,Consumer Services
CTV,Qwest Corporation,25.2,19.73,21.706349206349202,Public Utilities
CTY,Qwest Corporation,23.59,18.0,23.69648155998304,Public Utilities
CTZ,Qwest Corporation,25.06,18.85,24.780526735833988,Public Utilities
CUB,Cubic Corporation,63.36,53.74,15.183080808080804,Capital Goods
CUBE,CubeSmart,34.37,28.69,16.526040151294723,Consumer Services
CUBI,"Customers Bancorp, Inc",18.88,18.2,3.601694915254236,Finance
CUK,Carnival Corporation,43.72,48.73,-11.459286367795055,Consumer Services
CULP,"Culp, Inc.",16.72,18.9,-13.038277511961722,Basic Industries
CURO,CURO Group Holdings Corp.,12.98,9.49,26.887519260400616,Finance
CUZ,Cousins Properties Incorporated,33.35,31.6,5.247376311844078,Consumer Services
CVA,Covanta Holding Corporation,16.38,13.42,18.070818070818063,Basic Industries
CVE,Cenovus Energy Inc,8.45,7.03,16.804733727810643,Energy
CVEO,Civeo Corporation,1.55,1.43,7.741935483870975,Consumer Services
CVI,CVR Energy Inc.,48.5,34.48,28.90721649484537,Energy
CVIA,Covia Holdings Corporation,1.64,3.42,-108.53658536585367,Basic Industries
CVNA,Carvana Co.,60.97,32.71,46.350664261112016,Consumer Durables
CVS,CVS Health Corporation,54.51,65.52,-20.198128783709407,Health Care
CVX,Chevron Corporation,118.74,108.79,8.379653023412487,Energy
CW,Curtiss-Wright Corporation,118.6,102.12,13.895446880269807,Technology
CWEN,"Clearway Energy, Inc.",17.64,17.25,2.2108843537414997,Public Utilities
CWH,"Camping World Holdings, Inc.",10.8,11.47,-6.203703703703703,Consumer Durables
CWK,Cushman & Wakefield plc,17.18,14.47,15.774155995343417,Finance
CWT,California Water  Service Group Holding,51.78,47.66,7.956740054074942,Public Utilities
CX,Cemex S.A.B. de C.V.,3.1,4.82,-55.48387096774194,Capital Goods
CXO,Concho Resources Inc.,70.23,102.79,-46.3619535810907,Energy
CXP,"Columbia Property Trust, Inc.",20.93,19.35,7.548972766364062,Consumer Services
CXW,"CoreCivic, Inc.",16.8,17.83,-6.130952380952366,Consumer Services
CYD,China Yuchai International Limited,13.32,12.44,6.606606606606611,Energy
CYH,"Community Health Systems, Inc.",1.91,2.82,-47.64397905759162,Health Care
CZZ,Cosan Limited,13.52,8.8,34.91124260355029,Consumer Non-Durables
D,"Dominion Energy, Inc.",74.67,71.46,4.298915226998806,Public Utilities
DAC,Danaos Corporation,7.32,10.5,-43.44262295081967,Transportation
DAL,"Delta Air Lines, Inc.",57.82,49.9,13.697682462815639,Transportation
DAN,Dana Incorporated,14.5,13.63,5.999999999999995,Capital Goods
DAR,Darling Ingredients Inc.,19.56,19.24,1.6359918200409014,Consumer Non-Durables
DAVA,Endava plc,35.85,24.15,32.635983263598334,Technology
DB,Deutsche Bank AG,7.65,8.15,-6.535947712418301,Finance
DBD,Diebold Nixdorf Incorporated,12.84,2.49,80.60747663551402,Miscellaneous
DBI,Designer Brands Inc.,16.75,24.7,-47.46268656716418,Consumer Services
DCI,"Donaldson Company, Inc.",46.8,43.39,7.28632478632478,Capital Goods
DCO,Ducommun Incorporated,39.33,36.32,7.653190948385452,Capital Goods
DCP,DCP Midstream LP,26.57,26.49,0.3010914565299279,Public Utilities
DCUD,"Dominion Energy, Inc.",50.28,46.2476,8.019888623707244,Public Utilities
DD,"DuPont de Nemours, Inc.",66.06,76.12,-15.228580078716321,Basic Industries
DDD,3D Systems Corporation,8.24,10.17,-23.422330097087375,Technology
DDS,"Dillard&#39;s, Inc.",69.97,60.31,13.80591682149492,Consumer Services
DDT,"Dillard&#39;s, Inc.",25.89,25.57,1.2359984550019323,Consumer Services
DE,Deere & Company,151.06,149.17,1.2511584800741524,Capital Goods
