Symbol,Name,Last_Sale,Start_of_Year_Sale,YTD_Change_Percent,Sector
WLKP,Westlake Chemical Partners LP,22.65,24.13,-6.53421633554084,Basic Industries
WLL,Whiting Petroleum Corporation,10.65,22.69,-113.05164319248826,Energy
WM,"Waste Management, Inc.",113.77,88.99,21.780785795904016,Public Utilities
WMB,"Williams Companies, Inc. (The)",23.78,22.05,7.275021026072332,Public Utilities
WMC,Western Asset Mortgage Capital Corporation,9.91,8.34,15.84258324924319,Consumer Services
WMK,"Weis Markets, Inc.",37.6,47.78,-27.07446808510638,Consumer Services
WMS,"Advanced Drainage Systems, Inc.",33.31,24.25,27.199039327529274,Capital Goods
WMT,Walmart Inc.,105.82,93.15,11.973161973161963,Consumer Services
WNC,Wabash National Corporation,15.05,13.08,13.089700996677745,Capital Goods
WNS,WNS (Holdings) Limited,62.0,41.26,33.45161290322581,Miscellaneous
WOR,"Worthington Industries, Inc.",37.7,34.84,7.586206896551722,Capital Goods
WOW,"WideOpenWest, Inc.",7.07,7.13,-0.8486562942008431,Consumer Services
WPC,W.P. Carey Inc.,83.45,65.34,21.701617735170757,Consumer Services
WPG,Washington Prime Group Inc.,3.54,4.86,-37.288135593220346,Consumer Services
WPM,Wheaton Precious Metals Corp.,26.43,19.53,26.10669693530079,Basic Industries
WPP,WPP plc,55.22,54.8,0.7605939876856243,Technology
WPX,"WPX Energy, Inc.",8.93,11.35,-27.0996640537514,Energy
WRB,W.R. Berkley Corporation,67.88,49.27,27.416028285209183,Finance
WRI,Weingarten Realty Investors,27.27,24.81,9.020902090209024,Consumer Services
WRK,Westrock Company,35.17,37.76,-7.364230878589696,Consumer Durables
WSM,"Williams-Sonoma, Inc.",63.83,50.45,20.96193012689957,Consumer Services
WSO,"Watsco, Inc.",154.03,139.14,9.666947997143422,Consumer Durables
WSR,Whitestone REIT,12.1,12.26,-1.322314049586778,Consumer Services
WST,"West Pharmaceutical Services, Inc.",133.64,98.03,26.646213708470512,Basic Industries
WTI,"W&T Offshore, Inc.",4.19,4.12,1.670644391408121,Energy
WTM,"White Mountains Insurance Group, Ltd.",1065.0,857.69,19.46572769953051,Finance
WTR,"Aqua America, Inc.",40.9,34.19,16.405867970660147,Public Utilities
WTS,"Watts Water Technologies, Inc.",91.59,64.53,29.54471012119227,Capital Goods
WTTR,"Select Energy Services, Inc.",8.75,6.32,27.77142857142857,Energy
WU,Western Union Company (The),21.05,17.06,18.954869358669843,Miscellaneous
WUBA,58.com Inc.,51.33,54.21,-5.610753945061372,Technology
WWE,"World Wrestling Entertainment, Inc.",66.11,74.72,-13.023748298290727,Consumer Services
WWW,"Wolverine World Wide, Inc.",26.67,31.89,-19.57255343082114,Consumer Non-Durables
WY,Weyerhaeuser Company,24.47,21.86,10.666121781773597,Consumer Services
WYND,"Wyndham Destinations, Inc.",40.35,35.84,11.177199504337047,Consumer Services
X,United States Steel Corporation,12.64,18.24,-44.30379746835441,Basic Industries
XAN,Exantas Capital Corp.,11.14,10.02,10.053859964093366,Consumer Services
XEC,Cimarex Energy Co,44.92,61.65,-37.24398931433659,Energy
XHR,"Xenia Hotels & Resorts, Inc.",20.24,17.2,15.0197628458498,Consumer Services
